ID,critical_distance,direction,bearing
1764,13, E,90
1765,13, E,90
1766,13, E,90
1767,13, E,90
1768,13, E,90
1769,13, E,90
1770,13, E,90
1771,13, E,90
1772,13, E,90
1773,13, E,90
1774,13, E,90
1775,13, E,90
1776,13, E,90
1777,13, E,90
1778,13, E,90
1779,13, E,90
1780,13, E,90
1781,13, E,90
1782,13, E,90
1783,13, E,90
1784,13, E,90
1785,13, E,90
1786,13, E,90
1787,13, E,90
1788,13, E,90
1789,13, E,90
1790,13, E,90
1791,13, E,90
1792,13, E,90
1793,13, E,90
1794,13, E,90
1795,13, E,90
1796,13, E,90
1797,13, E,90
1798,13, E,90
1799,13, E,90
1800,13, E,90
1801,13, E,90
1802,13, E,90
1803,13, E,90
1804,13, E,90
1805,13, E,90
1806,13, E,90
1807,13, E,90
1808,13, E,90
1809,13, E,90
1810,13, E,90
1811,13, E,90
1812,13, E,90
1813,13, E,90
2824,13, E,90
2825,13, E,90
2826,13, E,90
2827,13, E,90
2828,13, E,90
2829,13, E,90
2830,13, E,90
2831,13, E,90
2832,13, E,90
2833,13, E,90
2834,13, E,90
2835,13, E,90
2836,13, E,90
2837,13, E,90
2838,13, E,90
2839,13, E,90
2840,13, E,90
2841,13, E,90
2842,13, E,90
2843,13, E,90
2844,13, E,90
2845,13, E,90
2846,13, E,90
2847,13, E,90
2848,13, E,90
2849,13, E,90
2850,13, E,90
2851,13, E,90
2852,13, E,90
2853,13, E,90
2854,13, E,90
2855,13, E,90
2856,13, E,90
2857,13, E,90
2858,13, E,90
2859,13, E,90
2860,13, E,90
2861,13, E,90
2862,13, E,90
2863,13, E,90
2864,13, E,90
2865,13, E,90
2866,13, E,90
2867,13, E,90
2868,13, E,90
2869,13, E,90
2870,13, E,90
2871,13, E,90
2872,13, E,90
2873,13, E,90
2874,13, E,90
2875,13, E,90
2876,13, E,90
2877,13, E,90
2878,13, E,90
2879,13, E,90
2880,13, E,90
2881,13, E,90
2882,13, E,90
2883,13, E,90
2884,13, E,90
2885,13, E,90
2886,13, E,90
2887,13, E,90
2888,13, E,90
4146,14, E,90
4147,14, E,90
4148,14, E,90
4149,14, E,90
4150,14, E,90
4151,14, E,90
4152,14, E,90
4153,14, E,90
4154,14, E,90
4155,14, E,90
4156,14, E,90
4157,14, E,90
4158,14, E,90
4159,14, E,90
4160,14, E,90
4161,14, E,90
4162,14, E,90
4163,14, E,90
4164,14, E,90
4165,14, E,90
4166,14, E,90
4167,14, E,90
4168,14, E,90
4169,14, E,90
4170,14, E,90
4171,14, E,90
4172,14, E,90
4173,14, E,90
4174,14, E,90
4175,14, E,90
4176,14, E,90
4177,14, E,90
4178,14, E,90
5329,16, E,90
5330,16, E,90
5331,16, E,90
5332,16, E,90
5333,16, E,90
5334,16, E,90
5335,16, E,90
5336,16, E,90
5337,16, E,90
5338,16, E,90
5339,16, E,90
5340,16, E,90
5341,16, E,90
5342,16, E,90
5343,16, E,90
5344,16, E,90
5345,16, E,90
5346,16, E,90
5347,16, E,90
5348,16, E,90
5349,16, E,90
5350,16, E,90
5351,16, E,90
5352,16, E,90
5353,16, E,90
5354,16, E,90
5355,16, E,90
5356,16, E,90
5357,16, E,90
5358,16, E,90
5359,16, E,90
5360,16, E,90
5361,16, E,90
6633,18, E,90
6634,18, E,90
6635,18, E,90
6636,18, E,90
6637,18, E,90
6638,18, E,90
6639,18, E,90
6640,18, E,90
6641,18, E,90
7743,23, E,90
8345,28, E,90
8346,28, E,90
989,12, N,360
990,12, N,360
991,12, N,360
992,12, N,360
993,12, N,360
994,12, N,360
995,12, N,360
996,12, N,360
997,12, N,360
998,12, N,360
999,12, N,360
1000,12, N,360
1001,12, N,360
1002,12, N,360
1003,12, N,360
1004,12, N,360
1005,12, N,360
1006,12, N,360
1007,12, N,360
1008,12, N,360
1009,12, N,360
1010,12, N,360
1011,12, N,360
1012,12, N,360
1013,12, N,360
1014,12, N,360
1015,12, N,360
1016,12, N,360
1017,12, N,360
1018,12, N,360
1019,12, N,360
1020,12, N,360
1021,12, N,360
1022,12, N,360
1023,12, N,360
1024,12, N,360
1025,12, N,360
1026,12, N,360
1027,12, N,360
1028,12, N,360
1029,12, N,360
1030,12, N,360
1031,12, N,360
1032,12, N,360
1033,12, N,360
1034,12, N,360
1035,12, N,360
1036,12, N,360
1037,12, N,360
1038,12, N,360
1039,12, N,360
1040,12, N,360
1041,12, N,360
1042,12, N,360
1043,12, N,360
1044,12, N,360
1045,12, N,360
1046,12, N,360
1047,12, N,360
1048,12, N,360
1049,12, N,360
1050,12, N,360
1051,12, N,360
1052,12, N,360
1053,12, N,360
1054,12, N,360
1055,12, N,360
1056,12, N,360
1057,12, N,360
1058,12, N,360
1059,12, N,360
1060,12, N,360
1061,12, N,360
1062,12, N,360
1063,12, N,360
1064,12, N,360
1065,12, N,360
1066,12, N,360
1067,12, N,360
1068,12, N,360
1069,12, N,360
1070,12, N,360
1071,12, N,360
1072,12, N,360
1073,12, N,360
1074,12, N,360
1075,12, N,360
1076,12, N,360
1077,12, N,360
1078,12, N,360
1079,12, N,360
1445,13, N,360
1446,13, N,360
1447,13, N,360
1448,13, N,360
1449,13, N,360
1450,13, N,360
1451,13, N,360
1452,13, N,360
1453,13, N,360
1454,13, N,360
